GROUP_ID,GROUP_NAME,GROUP_LINK,TAG_LIST
e35be403d036402390c9caa5dc76c5fe,muto! ,,"排球少年,探險活寶,原創"
ea696c32752f4113ba28a17aabd27f8f,好吸餅乾 ,,"原創,忍者亂太郎,勇氣爆發"
c5613dae1c1d426db0d834546a00ba29,山山來馳 ,,"原創,忍者亂太郎,勇氣爆發布雷棒"
eb18a174f77a413b96e752dd48cb65c0,薯星星 ,,落第忍者亂太郎
7a500e8aaf3f4634beaa0da4ec8d2f30,遲早要落亂 ,,"忍者亂太郎<忍たま乱太郎>,鬼太郎誕生咯咯咯之謎<鬼太郎誕生ゲゲゲの謎>"
c78c46d73ab643b7b1d934f15bf7b06f,涵金手作 ,,"怪獸8號,Alien  Atage,進擊的巨人"
91daf5042e564bf7ad345c9dc6dae9e9,哈囉 你好 再見 ,,"忍者亂太郎,排球少年,新世界狂歡"
2f518d5c1ed44b43876422d04f64e35e,基友去哪兒？ ,,"咒術迴戰-五夏,出道死-炆旲世振,忍亂-雜伊"
6e742040aee146f4848f9535ac47a7f2,豪華雞肉丸鍋 ,,咒術迴戰
e20df46873494b95b27dfe54c7784f95,竹輪滿漢大餐 ,,"忍者亂太郎,新世界狂歡,咒術迴戰"
d3cc51e564de471096a7893352b79ab7,我要填伍佰個坑 ,,"失憶投捕,排球少年,新世界狂歡"
f6a2cad8cbbd45f6a3fcd563b7f07c10,我是你最深的依賴 卻發現其實我不在 ,,"失憶投捕,排球少年,PLAVE"
290ac1488bc34523808792d5fee05225,燒焦平底鍋 ,,"迷宮飯,排球少年,膽大黨"
ad60ecd71ead4f9da2c4b3b9c331a98f,有人在嗎 ,,"排球少年,Vtuber (彩虹社)"
3010ce44929345228d38b8d09d7fbd73,大雜燴 ,,"Vtuber,新世界狂歡,戀與深空"
10a62c405c424b0db420229785bd88a4,大則小則落一盤 ,,"vtuber(彩虹社),失憶投捕"
2d6aeb5077fb4b38bbddeb1f3b78362d,忍者旅行100%旅行委員會 ,,忍者亂太郎
52af744a7d324179aa718bf3e22edb04,趨光性植物 ,,"排球少年,原創"
45ecfa417910485b8ab73bc13ac14ac1,+ Ｎaｉvｅ Ｄaｙ+ ,,"NIJISANJI EN,原創,鬼滅之刃"
8919528985cd4456a199f10aa7f63dc1,108,,"新世界狂歡,英雄聯盟,原創-救世勇者還是經驗０"
94855bd6b2fd4440963868f82b15d003,當季的魚 ,,"原創,二創 PLAVE,二創 異形舞台"
552e5f486a604ca79c3c4fe67a627259,古藤工作室 by MOMO ,,"Alien Stage,全知讀者視角"
70c3d8123b2f4aefb7485612a0b9f164,瓶子中的鬱金香 ,,"原創-鳥商品,LUXIEM"
3314f83623884666919d89c438e2f9ff,要吃水果嗎 ,,"排球少年,咒術迴戰,戀與深空"
612ce5e3d06f4aa1b95bddb7eb7b88e5,烏龜為什麼跑那麼快 ,,"PLAVE,我的英雄學院,異形舞台"
b03e50c873474dcda5c0aca679a07a96,海鮮飯糰 ,,"PLAVE,迪士尼扭曲仙境,霹靂布袋戲"
95c236c4593b4b8188e47855d0cc5031,凱特少爺 ,,"NIJISANJI  EN,全知讀者視角,全職高手"
813e84a824284978a4819d57da5b8a84,米De加奶不加糖 ,,"我培育的S級們,我的英雄學院,終極一班"
6cbaeb5950e045c1bf4e846bbb4f5dad,心悸寶貝 ,,"BOYNEXTDOOR,PLAVE,伯爵家的混混"
f2efa654fba04f25927a2c18b2581838,3206參貳零陸 ,,"AlienStage外星人舞台,文字化化,鬼太郎誕生之謎"
b97654e50eb742a8b2654a136a9f9574,酥潑愛豆 ,,"PLAVE,咒術迴戰"
b9e70d3b3c8749d0a13a4dbcd7fc0b85,野海熊熊可麗餅 ,,"PLAVE,Alien Stage,原創"
22d5702707c34d38b2a1d74cf1b11ddb,樹手無策 ,,"PLAVE,彩虹社JP(劍持刀也&花生君)  刀P,我的英雄學院"
fd67a92da236442abf0efd5c9e0eb1fc,下一本要畫啥 ,,"異星舞台,排球少年,扭曲仙境"
882191d26f304005bfe7526a7f0ad8c3,夢星球 ,,"ALIEN STAGE,全知讀者視角"
e92a1463611c46ad98168fefcbee0550,發糖工廠限量供應 ,,"排球少年,NIJISANJI  JP/EN,新世界狂歡"
788484c39f454aa3a3cca958ceab0317,空想‧呢喃 ,,"VTuber,鬼太郎,夏目友人帳"
8f84979790e7468d8982fa037c5000b7,塔董想買小島過著退休生活了 ,,"台灣Vtuber,スロウ・ダメージ,瑪奇Mabinogi"
a61252dfdb304564b7184304d63342b8,尾尾到來、波波淥淥 ,,"彩虹社,Hololive,排球少年"
3d60dd300ba04dce8a4df27fbc04e21b,壞狗狂奔，咎人要緊 ,,"虛擬實況主（彩虹社）,世界計畫 繽紛舞台！ feat.初音未來"
e4e5cea7b4124927b502a5821c2ed1f1,夢遊者吃布丁 ,,"ATEEZ,PLAVE,名偵探柯南"
f7282c36548649eb9cc87653963bd4f8,SophieK極品菲宅 ,,"Hololive,原創-小菲龍咆嘯個人twitch周邊"
c3db2092ffc84cf6a32b52ffc08287f8,粉色蒂國 ,,"hololive Vtuber,原創-粉色蒂國"
85d53fbbd139458996d0d8e28093dc41,貓咪粗乃丸 ,,"Hololive,馴龍高手,原創-草履貓系列週邊"
7ed99f27ac994cd082fbe056976f3d1a,風聲颯颯 ,,"Vtuber同人（彩虹社、個人勢）,崩壞：星穹鐵道"
b5fd3498e47d4c53bce788c918822a95,MAHAAA ,,"nijisanji en vtuber,作業系統衍伸二創作品"
f000ec68c085414c9e77ef4691a70e8a,快樂氣工坊 ,,"星之卡比,寶可夢,戀與深空"
9b1019b77b78457ab32f22bfbd780e28,御宅文青相談所 ,,"彩虹社VTUBER,JUMP系少年漫畫,忍者亂太郎"
37058de58a7a42808962d2aeaee63a59,緣流 ,,"vtuber霓插畫本、百合漫畫本,vtuber壓克力、明信片"
da657910f4924588b330e6afd6ed5425,富士繪社 ,,"hololive,彩虹社,原創插畫周邊"
4d168c2073a0415a932c01db36381456,shirai ,,"hololive,彩虹社,葬送的芙莉蓮"
e356d0fe7b0a494db6b9e1e6f052dc7d,做我的蠢糗大萌 ,,"我的英雄學院,HUNTERxHUNTER,美少女戰士"
dceddc0ff9c149f1a88d41337c228578,黑鮪食堂 ,,"我的英雄學院,間諜家家酒,忍者亂太郎"
2ba0ea72d38b42ec842b20578785253d,環繞著土星的光環 ,,"妖怪手錶,鬼滅之刃,原神"
6696cf28b25f41359d64f4944cd9eba5,微米手作工坊 ,,"原神相關印象耳環、項鍊、吊飾,排球少年相關印象耳環、吊飾,原創-貓耳環"
9174132a1ca94d238e7ee5214faddd2e,砂鍋魚頭 ,,"東離劍遊紀,鬼太郎的誕生"
607851955bf84898935604b2479f6227,米狗屋 ,,"原神,我的英雄學院"
112d61a60ba243cc9c57600034bad8ab,腦維修 ,,"刀劍亂舞,IDOLiSH7,原創"
e98bc79c4ab9442291f32c48d726fb82,整顆馬鈴薯厚切 ,,"我的英雄學院,世界計畫"
054362299bac49109a48f964a31518e8,finnish ,,"我的英雄學院,忍者亂太郎,進擊的巨人"
1f8bda33eaf24e66851e1b1f243a35b7,AK廢墟樂園 ,,"NIJISANJI EN,坂本日常"
64ba8350a183426386f1759bc74f4605,淺紫色宇宙沼澤 ,,"彩虹社所屬Vtuber 星導ショウ,彩虹社所屬Vtuber 小柳ロウ"
42382441aff44c809571fcc753095714,Minority ,,にじさんじ
af8f5a80843040b68fb3faef59e5ca41,毛球滾動 ,,Holostars
69cbc1c56bf64663a6b8c66af7a781ad,虛無布饅頭 ,,"HOLOSTARS,刀劍亂舞"
817f5bed45c1400f888367c797157713,老祖宗保佑我 ,,"彩虹社,戀與深空,My go 少女樂團"
da1b2aa437c6484d99c74ddd7c5845f0,路人Miga ,,"Vtuber,彩虹社,Hololive+Holostars"
c9e47b44ca854c7e8e6a923f2db20def,彩虹社坑底的旅行者 ,,"彩虹社Vtuber,戀與深空,米哈遊"
2b954204cb9a4279ae0ab189181ace5e,骨科主任 ,,"進擊的巨人,彩虹社V-tuber,原創作品-ATMsosad"
df4c40721ead4f0ebf3d7674edf28110,少年依存症。 ,,"原創,去唱卡拉ＯＫ,NIJISANJI EN"
097e59a282714f119f0a4cd1bd20ae5c,裏紙片堂 ,,"LAST MILE/MIU404,去唱卡拉OK吧!,NIJISANJI EN Noctyx"
2dc2f22ef8984127b09af465e2e04f10,五月野剛好有伊未壽星 ,,"MIU404,Last Mile,カラオケ行こ"
c419aee740ad4f1fb5b6b4b01f7ac80b,第幾次幣外調查? ,,"名偵探柯南,進擊的巨人,MIU404"
f340b02329f84023845d869a9d80f4dc,歲月如梭 ,,"名偵探柯南,水星的魔女,鳥男"
79567e7691434bc38a5ce0fe05460c93,深夜關窗 ,,"如果３０歲還是處男，似乎就能成為魔法師,我獨自升級,排球少年"
