BOOTH_ACTIVE_DAY,BOOTH_LIST,GROUP_NAME
1,"A01,A02",角落
1,"A03,A04",灰島工作室
1,"A05,A06",三隻毛毛蟲
1,"A07,A08",R匠研究工坊
1,"A09,A10",眾惡堂工坊
1,"A11,A12",微塵事務所
1,"A13,A14",Edge Three
1,A15,one one collection
1,A16,哈希瑪奇旋風
1,"A17,A18",G&K modeling
1,"A19,A20",conscious8th
1,"A21,A22",柚子工房
1,A23,TwelveStudios
1,A24,獸獸的玩具？ fur.shop
1,A25,營養口糧兵工廠
1,A26,殘業TONIGHT
1,A27,光影之下
1,A28,犬狸貓手作
1,"A29,A30",GKO-偶人製作坊
1,"A31,A32",狸奴小築
1,A33,專業坑CP
1,A34,夢幻菸草
1,A35,手創館
1,A36,守祚魔法堂
1,"A37,A38",克特小舖
1,"A39,A40",ZAP製造所
1,A41,Silent_Blue_
1,A42,好點子
1,"A43,A44",日落之旅藥水舖
1,"B01,B02",雙夏
1,"B03,B04",My Garden 我的庭園（羊毛氈手作坊）
1,B05,Dark-yard.studio
1,B06,千秋稲荷社
1,B07,山積黨
1,B08,G.A.S.
1,B09,超級同人大戰
1,B10,北市大ACGN
1,"B11,B12",驕傲香蕉
1,B13,Awan
1,"B14,B15",超級米漿
1,B16,F.W.ZHolic
1,"B17,B18",Hashira十四
1,"B19,B20",肉腿本舖NARU
1,B21,ざしきねこ
1,B22,やまぐちぷりんと
1,"B23,B24",鬍子的美人茗茶
1,"B25,B26",向日葵茄子
1,"B27,B28",快樂濕大象
1,B29,悠井浩的插畫
1,B30,蚩尤
1,B31,Ｄｅｌａｙｄｅｒ
1,B32,有害蕈類集會所
1,B33,鉛筆盒
1,B34,冷水青蛙鍋
1,B35,超大玉米力
1,B36,Uniautomata Studio
1,"B37,B38",大慶集團
1,B39,ブラック・クラッシャー
1,B40,山鐘塔第三防衛機關
1,B41,JELDA
1,B42,fu富
1,"B43,B44",MiraKE
1,"C23,C24",LSS的機械陣地
1,"C25,C26",格裏芬故事屋
1,"C27,C28",HEXE of ZAKKA~魔女雜貨~
1,C29,SCIFASAURUS(海穹文化)
1,C30,艾爾先生
1,C31,ACG動漫迷的秘密會社
1,C32,咖哩東
1,"C33,C34",景美仙姬巖
1,"C35,C36",Hsun Craft Studio
1,C37,草神
1,C38,正港奇片漫畫工作室
1,"C39,C40",旋鳥
1,"C41,C42",芙子煉的藝想室X小黃瓜口味冰泡芙
1,"C43,C44",雪之饗
1,"L01,L02",Feshana
1,L03,骨頭蹦
1,L04,作業系統
1,L05,TyPhoon
1,L06,じるふぁん
1,L07,Kuro Kanin
